book_site,book_isbn,book_cat,book_title,book_price,book_author,book_publish,book_publish_date,book_img,book_url,crawl_time
yes24,,단말기,예스24 크레마 사운드업 (crema soundup),"129,000",,"회원리뷰(,건)","
                ,
                판매지수 94275 ,
            ",http://image.yes24.com/Goods/71402084/800x0,http://www.yes24.com/Product/Goods/71402084,2019-05-21 16:05:34.967161
yes24,9788954643535,테마소설,미스 함무라비,"12,150",문유석,문학동네,2016년 12월 01일,http://image.yes24.com/Goods/33620803/800x0,http://www.yes24.com/Product/Goods/33620803,2019-05-21 16:05:35.184339
yes24,9788936434311,한국소설,경애의 마음,"12,600",김금희,창비,2018년 06월 15일,http://image.yes24.com/Goods/60894315/800x0,http://www.yes24.com/Product/Goods/60894315,2019-05-21 16:05:35.401532
yes24,9788952791160,한국소설,날씨가 좋으면 찾아가겠어요,"12,420",이도우,시공사,2018년 07월 01일,http://image.yes24.com/Goods/62101605/800x0,http://www.yes24.com/Product/Goods/62101605,2019-05-21 16:05:35.617230
yes24,9788965746621,한국소설,해리 2,"13,050",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/62279223/800x0,http://www.yes24.com/Product/Goods/62279223,2019-05-21 16:05:35.822754
yes24,9788954646079,한국소설,바깥은 여름,"11,700",김애란,문학동네,2017년 06월 28일,http://image.yes24.com/Goods/42798224/800x0,http://www.yes24.com/Product/Goods/42798224,2019-05-21 16:05:36.138734
yes24,9788954641630,한국소설,쇼코의 미소,"10,800",최은영,문학동네,2016년 07월 04일,http://image.yes24.com/Goods/29288225/800x0,http://www.yes24.com/Product/Goods/29288225,2019-05-21 16:05:36.371238
yes24,9788954651820,한국소설,내게 무해한 사람,"12,150",최은영,문학동네,2018년 06월 30일,http://image.yes24.com/Goods/61778623/800x0,http://www.yes24.com/Product/Goods/61778623,2019-05-21 16:05:36.577280
yes24,9788965746614,한국소설,해리 1,"13,050",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/62279219/800x0,http://www.yes24.com/Product/Goods/62279219,2019-05-21 16:05:36.795357
yes24,9791186686348,테마소설,인생 우화,"14,400","류시화,블라디미르 루바로프",연금술사,2018년 07월 30일,http://image.yes24.com/Goods/62229749/800x0,http://www.yes24.com/Product/Goods/62229749,2019-05-21 16:05:37.057278
yes24,"  크레마 / PC / 아이폰 / 아이패드 / 안드로이드폰 / 안드로이드패드 / 전자책단말기 
                        ",현대물,[세트] 안녕 벚꽃 (총2권/완결),"7,200",해화,연담,2019년 05월 13일,http://image.yes24.com/momo/TopCate0001/kepub/L_SET_35097.jpg,http://www.yes24.com/Product/Goods/73161939,2019-05-21 16:05:37.774236
yes24,,한국소설,미스 함무라비 + 개인주의자 선언 세트,"24,300",문유석,문학동네,2016년 12월 01일,http://image.yes24.com/Goods/61178615/800x0,http://www.yes24.com/Product/Goods/61178615,2019-05-21 16:05:38.096877
yes24,"  크레마 / PC / 아이폰 / 아이패드 / 안드로이드폰 / 안드로이드패드 
                        ",대여 (에세이 시),[단독] [대여] 유연하게 흔들리는 중입니다,"4,800",최예슬 / 김민지,빌리버튼,2019년 05월 20일,http://image.yes24.com/momo/TopCate0001/kepub/L_1033723.jpg,http://www.yes24.com/Product/Goods/73164854,2019-05-21 16:05:38.742476
yes24,9788937473135,한국소설,82년생 김지영,"11,700",조남주,민음사,2016년 10월 14일,http://image.yes24.com/Goods/32972572/800x0,http://www.yes24.com/Product/Goods/32972572,2019-05-21 16:05:39.246294
yes24,,한국소설,"해리 1,2 세트","26,100",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/63139743/800x0,http://www.yes24.com/Product/Goods/63139743,2019-05-21 16:05:39.494128
yes24,9788936434120,한국소설,소년이 온다,"10,800",한강,창비,2014년 05월 19일,http://image.yes24.com/Goods/13137546/800x0,http://www.yes24.com/Product/Goods/13137546,2019-05-21 16:05:39.792271
yes24,9791189982140,한국소설,"[예약판매] 진이, 지니","12,600",정유정,은행나무,2019년 05월 27일,http://image.yes24.com/Goods/73417149/800x0,http://www.yes24.com/Product/Goods/73417149,2019-05-21 16:05:39.958525
yes24,9788995151204,한국소설,난장이가 쏘아올린 작은 공,"9,900",조세희,이성과 힘,2000년 07월 10일,http://image.yes24.com/Goods/141729/800x0,http://www.yes24.com/Product/Goods/141729,2019-05-21 16:05:40.259256
yes24,9788954655811,한국소설,2019 제10회 젊은작가상 수상작품집,"4,950","박상영,백수린,이주란,정영수,김봉곤",문학동네,2019년 04월 05일,http://image.yes24.com/Goods/71822432/800x0,http://www.yes24.com/Product/Goods/71822432,2019-05-21 16:05:40.462742
yes24,9791188810666,한국소설,작별,"10,800","한강,이승우,정이현,권여선,정지돈",은행나무,2018년 10월 19일,http://image.yes24.com/Goods/65298919/800x0,http://www.yes24.com/Product/Goods/65298919,2019-05-21 16:05:40.687424
yes24,9791162204375,,(문고판) 혼자 하는 공부의 정석,"8,000",한재우,위즈덤하우스,2018년 07월 06일,http://image.yes24.com/Goods/61999956/800x0,http://www.yes24.com/Product/Goods/61999956,2019-05-21 16:05:40.906941
yes24,9788954637756,사회비평/비판,개인주의자 선언,"12,150",문유석,문학동네,2015년 09월 23일,http://image.yes24.com/Goods/20536907/800x0,http://www.yes24.com/Product/Goods/20536907,2019-05-21 16:05:41.164774
yes24,9788936433598,한국소설,채식주의자,"10,800",한강,창비,2007년 10월 30일,http://image.yes24.com/Goods/2743588/800x0,http://www.yes24.com/Product/Goods/2743588,2019-05-21 16:05:41.877433
yes24,9788954653558,장르소설,룬의 아이들 - 블러디드 1,"13,050",전민희,엘릭시르,2018년 11월 21일,http://image.yes24.com/Goods/66544423/800x0,http://www.yes24.com/Product/Goods/66544423,2019-05-21 16:05:42.144888
book_site,book_isbn,book_cat,book_title,book_price,book_author,book_publish,book_publish_date,book_img,book_url,crawl_time
yes24,,단말기,예스24 크레마 사운드업 (crema soundup),"129,000",,"회원리뷰(,건)","
                ,
                판매지수 94275 ,
            ",http://image.yes24.com/Goods/71402084/800x0,http://www.yes24.com/Product/Goods/71402084,2019-05-21 16:18:12.825624
yes24,9788954643535,테마소설,미스 함무라비,"12,150",문유석,문학동네,2016년 12월 01일,http://image.yes24.com/Goods/33620803/800x0,http://www.yes24.com/Product/Goods/33620803,2019-05-21 16:18:13.043499
yes24,9788936434311,한국소설,경애의 마음,"12,600",김금희,창비,2018년 06월 15일,http://image.yes24.com/Goods/60894315/800x0,http://www.yes24.com/Product/Goods/60894315,2019-05-21 16:18:13.291437
yes24,9788952791160,한국소설,날씨가 좋으면 찾아가겠어요,"12,420",이도우,시공사,2018년 07월 01일,http://image.yes24.com/Goods/62101605/800x0,http://www.yes24.com/Product/Goods/62101605,2019-05-21 16:18:13.506091
yes24,9788965746621,한국소설,해리 2,"13,050",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/62279223/800x0,http://www.yes24.com/Product/Goods/62279223,2019-05-21 16:18:13.711375
yes24,9791130617084,한국소설,그녀 이름은,"13,050",조남주,다산책방,2018년 05월 25일,http://image.yes24.com/Goods/60784516/800x0,http://www.yes24.com/Product/Goods/60784516,2019-05-21 16:18:13.957100
yes24,9788954641630,한국소설,쇼코의 미소,"10,800",최은영,문학동네,2016년 07월 04일,http://image.yes24.com/Goods/29288225/800x0,http://www.yes24.com/Product/Goods/29288225,2019-05-21 16:18:14.188993
yes24,9788954651820,한국소설,내게 무해한 사람,"12,150",최은영,문학동네,2018년 06월 30일,http://image.yes24.com/Goods/61778623/800x0,http://www.yes24.com/Product/Goods/61778623,2019-05-21 16:18:14.390274
yes24,9788965746614,한국소설,해리 1,"13,050",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/62279219/800x0,http://www.yes24.com/Product/Goods/62279219,2019-05-21 16:18:14.596232
yes24,9791186686348,테마소설,인생 우화,"14,400","류시화,블라디미르 루바로프",연금술사,2018년 07월 30일,http://image.yes24.com/Goods/62229749/800x0,http://www.yes24.com/Product/Goods/62229749,2019-05-21 16:18:14.843425
yes24,"  크레마 / PC / 아이폰 / 아이패드 / 안드로이드폰 / 안드로이드패드 / 전자책단말기 
                        ",현대물,[세트] 안녕 벚꽃 (총2권/완결),"7,200",해화,연담,2019년 05월 13일,http://image.yes24.com/momo/TopCate0001/kepub/L_SET_35097.jpg,http://www.yes24.com/Product/Goods/73161939,2019-05-21 16:18:15.529757
yes24,,한국소설,미스 함무라비 + 개인주의자 선언 세트,"24,300",문유석,문학동네,2016년 12월 01일,http://image.yes24.com/Goods/61178615/800x0,http://www.yes24.com/Product/Goods/61178615,2019-05-21 16:18:15.810301
yes24,"  크레마 / PC / 아이폰 / 아이패드 / 안드로이드폰 / 안드로이드패드 
                        ",대여 (에세이 시),[단독] [대여] 유연하게 흔들리는 중입니다,"4,800",최예슬 / 김민지,빌리버튼,2019년 05월 20일,http://image.yes24.com/momo/TopCate0001/kepub/L_1033723.jpg,http://www.yes24.com/Product/Goods/73164854,2019-05-21 16:18:16.486591
yes24,9788937473135,한국소설,82년생 김지영,"11,700",조남주,민음사,2016년 10월 14일,http://image.yes24.com/Goods/32972572/800x0,http://www.yes24.com/Product/Goods/32972572,2019-05-21 16:18:16.957082
yes24,,한국소설,"해리 1,2 세트","26,100",공지영,해냄,2018년 07월 30일,http://image.yes24.com/Goods/63139743/800x0,http://www.yes24.com/Product/Goods/63139743,2019-05-21 16:18:17.225895
yes24,9788936434120,한국소설,소년이 온다,"10,800",한강,창비,2014년 05월 19일,http://image.yes24.com/Goods/13137546/800x0,http://www.yes24.com/Product/Goods/13137546,2019-05-21 16:18:17.656715
yes24,9791189982140,한국소설,"[예약판매] 진이, 지니","12,600",정유정,은행나무,2019년 05월 27일,http://image.yes24.com/Goods/73417149/800x0,http://www.yes24.com/Product/Goods/73417149,2019-05-21 16:18:17.869939
yes24,9788936434267,한국소설,아몬드,"10,800",손원평,창비,2017년 03월 31일,http://image.yes24.com/Goods/37300128/800x0,http://www.yes24.com/Product/Goods/37300128,2019-05-21 16:18:18.180616
yes24,9788954655811,한국소설,2019 제10회 젊은작가상 수상작품집,"4,950","박상영,백수린,이주란,정영수,김봉곤",문학동네,2019년 04월 05일,http://image.yes24.com/Goods/71822432/800x0,http://www.yes24.com/Product/Goods/71822432,2019-05-21 16:18:18.392022
yes24,9788965962571,마케팅/세일즈,(문고판) 4차 산업 혁명의 충격,"8,900","클라우스 슈밥,포린 어페어스,김진희,손용수,최시영,정재승",흐름출판,2018년 02월 15일,http://image.yes24.com/Goods/58186564/800x0,http://www.yes24.com/Product/Goods/58186564,2019-05-21 16:18:18.625365
yes24,9791162204375,,(문고판) 혼자 하는 공부의 정석,"8,000",한재우,위즈덤하우스,2018년 07월 06일,http://image.yes24.com/Goods/61999956/800x0,http://www.yes24.com/Product/Goods/61999956,2019-05-21 16:18:18.845776
yes24,9788954646079,한국소설,바깥은 여름,"11,700",김애란,문학동네,2017년 06월 28일,http://image.yes24.com/Goods/42798224/800x0,http://www.yes24.com/Product/Goods/42798224,2019-05-21 16:18:19.134003
yes24,9788995151204,한국소설,난장이가 쏘아올린 작은 공,"9,900",조세희,이성과 힘,2000년 07월 10일,http://image.yes24.com/Goods/141729/800x0,http://www.yes24.com/Product/Goods/141729,2019-05-21 16:18:19.602071
yes24,9788954653558,장르소설,룬의 아이들 - 블러디드 1,"13,050",전민희,엘릭시르,2018년 11월 21일,http://image.yes24.com/Goods/66544423/800x0,http://www.yes24.com/Product/Goods/66544423,2019-05-21 16:18:19.966613
yes24,9791188810666,한국소설,작별,"10,800","한강,이승우,정이현,권여선,정지돈",은행나무,2018년 10월 19일,http://image.yes24.com/Goods/65298919/800x0,http://www.yes24.com/Product/Goods/65298919,2019-05-21 16:18:20.618518
